firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1998,,6,17.099068,19.927832,16.924524,6.9688506,1,Financial Institutions and Services,1,1,134
1,0,1998,,1,18.468491,20.341366,6.5069785,8.6681957,1,Communications and Networking,1,0,135
1,0,1998,,6,17.122684,19.846233,15.234286,6.9612961,1,Software,0,1,136
1,0,2013,,1,17.385952,19.589333,9.0555811,8.5669355,0,Software,0,0,137
1,0,1997,,2,16.802073,18.432833,5.1077561,7.2964134,0,Consumer Information Services,1,0,138
0,1,1997,11,21,15.284284,20.272194,146.62962,7.0210838,1,Consumer Information Services,0,0,139
1,0,1998,,3,16.441124,19.557201,22.557728,7.7367435,0,Software,0,1,140
0,1,2008,0,9,16.309479,19.214325,18.262455,7.4593387,0,Wholesale Trade and Shipping,0,0,141
1,0,1998,,8,16.768028,18.866699,8.1553173,7.1204443,0,Software,1,1,142
1,0,1999,,4,18.447783,20.527775,8.0044146,7.9624157,0,Media and Content,1,1,143
1,0,1998,,2,17.586409,20.100468,12.354986,7.7773738,0,Communications and Networking,1,1,144
1,0,1999,,0,17.742144,19.565277,6.1912274,7.5983992,1,Consumer Information Services,0,1,145
0,1,2005,3,12,18.087833,19.360561,3.5705788,8.0882549,1,Financial Institutions and Services,0,0,146
1,0,2000,,0,17.134747,19.618982,11.991973,6.6333184,0,Communications and Networking,0,1,147
0,0,2010,,7,17.696825,18.332436,1.8881748,8.514389,1,Software,1,0,148
1,0,1999,,2,17.412279,19.423901,7.4754372,7.5032897,1,Software,0,1,149
1,1,2006,2,10,16.80637,19.693047,17.933613,7.5983992,0,Software,1,0,150
1,1,2006,2,8,17.934015,19.540974,4.9876227,7.8367648,1,Semiconductors,0,0,151
0,0,2009,,8,17.622061,19.190529,4.7992859,8.2902927,0,Financial Institutions and Services,1,0,152
1,0,2012,,3,18.074553,18.897312,2.2767744,8.4107208,1,Software,1,0,153
1,0,1999,,1,17.304121,19.561306,9.5561543,7.9237103,0,Software,0,1,154
1,0,2003,,3,19.453751,18.858809,.55159366,8.1616602,0,Communications and Networking,0,0,155
